2
1,737050807568877
1,01
0,015
-0,98
-1,707050807568877
-1,97
-1,697050807568878
-0,960000000000001
0,045
1,049999999999999
1,787050807568877
2,06
1,797050807568878
1,070000000000001
0,075000000000002
-0,919999999999998
-1,647050807568876
-1,91
-1,637050807568878
-0,900000000000003
0,104999999999999
1,109999999999998
1,847050807568876
2,12
1,857050807568878
1,130000000000003
0,135000000000005
-0,859999999999998
-1,587050807568875
-1,85
-1,577050807568878
-0,840000000000003
0,164999999999995
1,169999999999995
1,907050807568874
2,18
1,917050807568879
1,190000000000003
0,195000000000005
-0,799999999999994
-1,527050807568873
-1,79
-1,517050807568879
-0,780000000000004
0,224999999999995
1,229999999999994
1,967050807568874
2,24
1,977050807568879
1,250000000000004
0,255000000000006
-0,739999999999994
-1,467050807568873
-1,73
-1,457050807568879
-0,720000000000004
0,284999999999994
1,289999999999994
2,027050807568873
2,3
2,037050807568879
1,310000000000004
0,315000000000013
-0,679999999999994
-1,407050807568877
-1,67
-1,397050807568879
-0,660000000000011
0,344999999999994
1,349999999999987
2,087050807568873
2,36
2,097050807568883
1,370000000000004
0,375000000000014
-0,619999999999993
-1,347050807568876
-1,61
-1,337050807568879
-0,600000000000011
0,404999999999993
1,409999999999987
2,147050807568872
2,42
2,157050807568883
1,430000000000005
0,435000000000014
-0,559999999999993
-1,287050807568869
-1,55
-1,27705080756888
-0,540000000000012
0,464999999999993
1,469999999999986
2,207050807568872
2,48
2,217050807568883
1,490000000000006
0,495000000000015
-0,499999999999992
-1,227050807568869
-1,49
-1,21705080756888
-0,480000000000012
0,524999999999992
1,529999999999986
2,267050807568872
2,54
2,277050807568884
1,550000000000006
0,555000000000015
-0,439999999999992
-1,167050807568868
-1,43
-1,157050807568887
-0,420000000000012
0,584999999999992
1,589999999999986
2,327050807568872
2,6
2,337050807568884
1,610000000000006
0,615000000000016
-0,379999999999992
-1,107050807568875
-1,37
-1,097050807568888
-0,360000000000013
0,644999999999991
1,649999999999998
2,387050807568865
2,66
2,397050807568884
1,670000000000007
0,675000000000002
-0,319999999999979
-1,047050807568868
-1,31
-1,037050807568881
-0,300000000000025
0,704999999999976
1,709999999999985
2,447050807568871
2,72
2,457050807568892
1,73000000000002
0,735000000000017
-0,259999999999991
-0,987050807568875
-1,25
-0,977050807568888
-0,240000000000014
0,76499999999999
1,769999999999997
2,507050807568864
2,78
2,517050807568884
1,790000000000008
0,795000000000031
-0,199999999999978
-0,927050807568867
-1,19
-0,917050807568881
-0,180000000000026
0,824999999999976
1,829999999999984
2,567050807568871
2,84
2,577050807568892
1,85000000000002
0,855000000000018
-0,13999999999999
-0,867050807568874
-1,13
-0,857050807568888
-0,120000000000014
0,884999999999989
1,889999999999971
2,627050807568864
2,9
2,637050807568885
1,910000000000009
0,915000000000032
-0,079999999999977
-0,807050807568867
-1,07
-0,797050807568882
-0,060000000000027
0,944999999999975
1,949999999999983
2,687050807568871
2,96
2,697050807568893
1,970000000000021
0,975000000000019
-0,019999999999989
-0,74705080756886
-1,01
-0,737050807568889
-0,000000000000015
1,004999999999988
2,00999999999997
2,747050807568863
3,02
2,757050807568886
2,030000000000009
1,035000000000033
0,040000000000024
-0,687050807568867
-0,95
-0,677050807568896
0,059999999999972
1,064999999999974
2,069999999999982
2,80705080756887
3,08
2,817050807568893
2,090000000000022
1,09500000000002
0,100000000000012
-0,627050807568859
-0,89
-0,61705080756889
0,119999999999984
1,124999999999987
2,12999999999997
2,867050807568862
3,14
2,877050807568886
2,150000000000035
1,155000000000034
0,160000000000025
-0,567050807568866
-0,83
-0,557050807568897
0,179999999999971
1,184999999999972
2,189999999999981
2,92705080756887
3,2
2,937050807568894
2,210000000000023
1,215000000000021
0,220000000000013
-0,507050807568873
-0,77
-0,497050807568904
0,239999999999983
1,244999999999958
2,249999999999993
2,987050807568862
3,26
2,997050807568887
2,270000000000036
1,275000000000007
0,280000000000025
-0,447050807568852
-0,71
-0,437050807568897
0,299999999999995
1,304999999999972
2,309999999999956
3,047050807568869
3,32
3,05705080756888
2,330000000000024
1,33500000000005
0,340000000000014
-0,387050807568858
-0,65
-0,377050807568891
0,359999999999958
1,364999999999985
2,369999999999968
3,107050807568847
3,38
3,117050807568901
2,390000000000012
1,395000000000036
0,400000000000051
-0,327050807568865
-0,59
-0,317050807568884
0,419999999999969
1,424999999999942
2,42999999999998
3,167050807568854
3,44
3,177050807568895
2,450000000000049
1,455000000000022
0,460000000000039
-0,267050807568872
-0,53
-0,257050807568905
0,479999999999981
1,484999999999956
2,489999999999991
3,227050807568861
3,5
3,237050807568888
2,510000000000037
1,515000000000009
0,520000000000027
-0,20705080756885
-0,47
-0,197050807568898
0,539999999999993
1,54499999999997
2,549999999999954
3,287050807568868
3,56
3,297050807568909
2,570000000000026
1,575000000000052
0,580000000000015
-0,147050807568857
-0,41
-0,137050807568891
0,599999999999956
1,604999999999983
2,609999999999966
3,347050807568847
3,62
3,357050807568902
2,630000000000014
1,635000000000038
0,640000000000053
-0,087050807568864
-0,35
-0,077050807568884
0,659999999999968
1,66499999999994
2,669999999999978
3,407050807568854
3,68
3,417050807568896
2,690000000000051
1,695000000000024
0,700000000000041
-0,027050807568871
-0,29
-0,017050807568906
0,71999999999998
1,724999999999954
2,72999999999999
3,46705080756886
3,74
3,477050807568888
2,750000000000039
1,755000000000068
0,760000000000029
0,032949192431151
-0,23
0,042949192431101
0,779999999999942
1,784999999999968
2,789999999999952
3,527050807568867
3,8
3,53705080756891
2,810000000000027
1,815000000000054
0,820000000000017
0,092949192431144
-0,17
0,102949192431107
0,839999999999954
1,844999999999981
2,849999999999965
3,587050807568845
3,86
3,597050807568903
2,870000000000015
1,87500000000004
0,880000000000054
0,152949192431137
-0,11
0,162949192431114
0,899999999999966
1,904999999999938
